Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish,Dutch
FeelSpeaker,blocks,Electricity,New,Speaker,,,,,,
FeelSpeaker_alarm_1,blocks,Electricity,New,Speaker - Alarm 1,,,,,,
FeelSpeaker_beep_1,blocks,Electricity,New,Speaker - Beep 1,,,,,,
FeelSpeaker_beep_2,blocks,Electricity,New,Speaker - Beep 2,,,,,,
FeelSpeaker_beep_3,blocks,Electricity,New,Speaker - Beep 3,,,,,,
FeelSpeaker_beep_4,blocks,Electricity,New,Speaker - Beep 4,,,,,,
FeelSpeaker_bell_1,blocks,Electricity,New,Speaker - Bell 1,,,,,,
FeelSpeaker_bell_2,blocks,Electricity,New,Speaker - Bell 2,,,,,,
FeelSpeaker_emergency_1,blocks,Electricity,New,Speaker - Emergency 1,,,,,,
FeelSpeaker_emergency_2,blocks,Electricity,New,Speaker - Emergency 2,,,,,,
FeelSpeaker_emergency_3,blocks,Electricity,New,Speaker - Emergency 3,,,,,,
FeelSpeaker_fire_1,blocks,Electricity,New,Speaker - Fire 1,,,,,,
FeelSpeaker_fire_2,blocks,Electricity,New,Speaker - Fire 2,,,,,,
FeelSpeaker_fire_3,blocks,Electricity,New,Speaker - Fire 3,,,,,,
FeelSpeaker_rooster_1,blocks,Electricity,New,Speaker - Rooster 1,,,,,,
FeelSpeaker_siren_1,blocks,Electricity,New,Speaker - Siren 1,,,,,,
FeelSpeaker_siren_2,blocks,Electricity,New,Speaker - Siren 2,,,,,,
FeelSpeaker_siren_3,blocks,Electricity,New,Speaker - Siren 3,,,,,,
FeelSpeaker_siren_4,blocks,Electricity,New,Speaker - Siren 4,,,,,,
FeelSpeaker_siren_5,blocks,Electricity,New,Speaker - Siren 5,,,,,,
FeelSpeaker_siren_6,blocks,Electricity,New,Speaker - Siren 6,,,,,,
FeelSpeaker_siren_7,blocks,Electricity,New,Speaker - Siren 7,,,,,,
FeelSpeaker_ship_1,blocks,Electricity,New,Speaker - Ship 1,,,,,,
FeelSpeaker_train_1,blocks,Electricity,New,Speaker - Train 1,,,,,,
