Key,File,Type,UsedInMainMenu,NoTranslate,english
quest_tier2_superinfested_clear,Quest,Quest Info,,,Tier 2 Super Infestation
quest_tier3_superinfested_clear,Quest,Quest Info,,,Tier 3 Super Infestation
quest_tier4_superinfested_clear,Quest,Quest Info,,,Tier 4 Super Infestation
quest_tier5_superinfested_clear,Quest,Quest Info,,,Tier 5 Super Infestation
quest_tier6_superinfested_clear,Quest,Quest Info,,,Tier 6 Super Infestation
quest_tier2_ultrainfested_clear,Quest,Quest Info,,,Tier 2 Ultra Infestation
quest_tier3_ultrainfested_clear,Quest,Quest Info,,,Tier 3 Ultra Infestation
quest_tier4_ultrainfested_clear,Quest,Quest Info,,,Tier 4 Ultra Infestation
quest_tier5_ultrainfested_clear,Quest,Quest Info,,,Tier 5 Ultra Infestation
quest_tier6_ultrainfested_clear,Quest,Quest Info,,,Tier 6 Ultra Infestation
quest_tier2_nightmare_clear,Quest,Quest Info,,,Tier 2 Nightmare
quest_tier3_nightmare_clear,Quest,Quest Info,,,Tier 3 Nightmare
quest_tier4_nightmare_clear,Quest,Quest Info,,,Tier 4 Nightmare
quest_tier5_nightmare_clear,Quest,Quest Info,,,Tier 5 Nightmare
quest_tier6_nightmare_clear,Quest,Quest Info,,,Tier 6 Nightmare
quest_superinfestation_response1,,,,,Super Infested Clear [7eb293]T1 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_superinfestation_response2,,,,,Super Infested Clear [fef580]T2 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_superinfestation_response3,,,,,Super Infested Clear [ff8800]T3 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_superinfestation_response4,,,,,Super Infested Clear [c4342d]T4 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_superinfestation_response5,,,,,Super Infested Clear [66033c]T5 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_ultrainfestation_response1,,,,,Ultra Infested Clear [7eb293]T1 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_ultrainfestation_response2,,,,,Ultra Infested Clear [fef580]T2 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_ultrainfestation_response3,,,,,Ultra Infested Clear [ff8800]T3 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_ultrainfestation_response4,,,,,Ultra Infested Clear [c4342d]T4 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_ultrainfestation_response5,,,,,Ultra Infested Clear [66033c]T5 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_nightmare_response1,,,,,Nightmare Clear [7eb293]T1 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_nightmare_response2,,,,,Nightmare Clear [fef580]T2 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a{poi.name}[-]
quest_nightmare_response3,,,,,Nightmare Clear [ff8800]T3 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_nightmare_response4,,,,,Nightmare Clear [c4342d]T4 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_nightmare_response5,,,,,Nightmare Clear [66033c]T5 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_tier2_superinfested_clear_offer,,,,,"We located a super infested zombie nest nearby. The location is critical to the survival of our colony. Go clear out the zombies at [DECEA3]{poi.name}[-]. Remember, there’s more of them, they’re moving faster and they’re harder to kill. Good Luck!"
quest_tier2_ultrainfested_clear_offer,,,,,"We located an ultra infested zombie nest nearby. The location is critical to the survival of our colony. Go clear out the zombies at [DECEA3]{poi.name}[-]. Remember, there’s more of them, they’re moving faster and they’re harder to kill. Good Luck!"
quest_tier2_nightmare_clear_offer,,,,,"We located a nightmare nearby. The location is critical to the survival of our colony. Go clear out the zombies at [DECEA3]{poi.name}[-]. Remember, there’s more of them, they’re moving faster and they’re harder to kill. Good Luck!"
quest_tier3_superinfested_clear_offer,Quest,Quest Info,,,We’ve caught word from one of our runners that our safehouse at [DECEA3]{poi.name}[-] has become a super infested zombie hive. Clear the threat survivor!
quest_tier3_ultrainfested_clear_offer,Quest,Quest Info,,,We’ve caught word from one of our runners that our safehouse at [DECEA3]{poi.name}[-] has become an ultra infested zombie hive. Clear the threat survivor!
quest_tier3_nightmare_clear_offer,Quest,Quest Info,,,We’ve caught word from one of our runners that our safehouse at [DECEA3]{poi.name}[-] has become completely overrun. It's a nightmare!
quest_tier4_superinfested_clear_offer,Quest,Quest Info,,,We’ve just learned that a swarm of super infested zombies has wiped out our team at [DECEA3]{poi.name}[-]. Gather up all your weapons and go kick some zombie ASS!
quest_tier4_hyperinfested_clear_offer,Quest,Quest Info,,,We’ve just learned that a swarm of hyper infested zombies has wiped out our team at [DECEA3]{poi.name}[-]. Gather up all your weapons and go kick some zombie ASS!
quest_tier4_nightmare_clear_offer,Quest,Quest Info,,,We’ve just learned that an immense swarm of infested zombies has completely wiped out our team at [DECEA3]{poi.name}[-]. Gather up all your weapons and end this nightmare!
quest_tier5_superinfested_clear_offer,Quest,Quest Info,,,Holy Shit! A major settlement has been overrun by a colony of super infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-].
quest_tier5_hyperinfested_clear_offer,Quest,Quest Info,,,Holy Shit! A major settlement has been overrun by a colony of hyper infested zombies. Use extreme caution and clear the threat at [DECEA3]{poi.name}[-].
quest_tier5_nightmare_clear_offer,Quest,Quest Info,,,Holy Shit! Don't go to [DECEA3]{poi.name}[-]! RUN!
quest_superinfestation_subtitle,Quest,Quest Info,,,Clear the Super Infested Area
quest_ultrainfestation_subtitle,Quest,Quest Info,,,Clear the Hyper Infested Area
quest_nightmare_subtitle,Quest,Quest Info,,,End this Nightmare!
quest_clear_response1,Quest,Quest Info,,,Clear Zombies [7eb293]T1 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_clear_response2,Quest,Quest Info,,,Clear Zombies [fef580]T2 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_clear_response3,Quest,Quest Info,,,Clear Zombies [ff8800]T3 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_clear_response4,Quest,Quest Info,,,Clear Zombies [c4342d]T4 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_clear_response5,Quest,Quest Info,,,Clear Zombies [66033c]T5 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_fetch_clear_response2,Quest,Quest Info,,,Fetch / Clear [fef580]T2 POI ([DECEA3]{poi.distance} {poi.direction}[-])  [ea899a]{poi.name}[-]
quest_fetch_clear_response3,Quest,Quest Info,,,Fetch / Clear [ff8800]T3 POI ([DECEA3]{poi.distance} {poi.direction}[-])  [ea899a]{poi.name}[-]
quest_fetch_clear_response4,Quest,Quest Info,,,Fetch / Clear [c4342d]T4 POI ([DECEA3]{poi.distance} {poi.direction}[-])  [ea899a]{poi.name}[-]
quest_fetch_clear_response5,Quest,Quest Info,,,Fetch / Clear [66033c]T5 POI ([DECEA3]{poi.distance} {poi.direction}[-])  [ea899a]{poi.name}[-]
quest_fetch_response1,Quest,Quest Info,,,Fetch [7eb293]T1 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_fetch_response2,Quest,Quest Info,,,Fetch [fef580]T2 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_fetch_response3,Quest,Quest Info,,,Fetch [ff8800]T3 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_fetch_response4,Quest,Quest Info,,,Fetch [c4342d]T4 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_fetch_response5,Quest,Quest Info,,,Fetch [66033c]T5 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_next_trader_description,Quest,Quest Info,,,Head to [DECEA3]{goto.name}[-] and open a new trade route.
quest_next_trader_response,Quest,Quest Info,,,Opening Trade Routes ([DECEA3]{goto.distance} {goto.direction}[-])
quest_restore_power_response2,Quest,Quest Info,,,[ff0000][Night Only][-] Restore Power [fef580]T2 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_restore_power_response3,Quest,Quest Info,,,[ff0000][Night Only][-] Restore Power [ff8800]T3 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_restore_power_response4,Quest,Quest Info,,,[ff0000][Night Only][-] Restore Power [c4342d]T4 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_infestation_response1,Quest,Quest Info,,,Infested Clear [7eb293]T1 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_infestation_response2,Quest,Quest Info,,,Infested Clear [fef580]T2 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_infestation_response3,Quest,Quest Info,,,Infested Clear [ff8800]T3 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_infestation_response4,Quest,Quest Info,,,Infested Clear [c4342d]T4 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
quest_infestation_response5,Quest,Quest Info,,,Infested Clear [66033c]T5 POI ([DECEA3]{poi.distance} {poi.direction}[-]) [ea899a]{poi.name}[-]
