Key,File,Type,English

ReinforcedChainlinkFenceVariantHelper,block,block,"Reinforced Chainlink Fence"
ReinforcedChainlinkFenceVariantHelperGroupDesc,block,block,"If this is the only thing that seperate you from whatever wants to tear you apart on the other side, makes it a bloody strong one"
ReinforcedChainlinkFenceDoor,block,block,"Reinforced Chainlink Fence Door"
ReinforcedChainlinkFencePole,block,block,"Reinforced Chainlink Fence Pole"
ReinforcedChainlinkFenceBottomRail,block,block,"Reinforced Chainlink Fence Bottom Rail"
ReinforcedChainlinkFenceBottomRailPoleLeft,block,block,"Reinforced Chainlink Fence Bottom Rail Pole Left"
ReinforcedChainlinkFenceBottomRailPoleRight,block,block,"Reinforced Chainlink Fence Bottom Rail Pole Right"
ReinforcedChainlinkFenceBottomRailPoleCorner,block,block,"Reinforced Chainlink Fence Bottom Rail Pole Corner"
ReinforcedChainlinkFenceMiddleRail,block,block,"Reinforced Chainlink Fence Middle Rail"
ReinforcedChainlinkFenceMiddleRailPoleLeft,block,block,"Reinforced Chainlink Fence Middle Rail Pole Left"
ReinforcedChainlinkFenceMiddleRailPoleRight,block,block,"Reinforced Chainlink Fence Middle Rail Pole Right"
ReinforcedChainlinkFenceMiddleRailPoleCorner,block,block,"Reinforced Chainlink Fence Middle Rail Pole Corner"
ReinforcedChainlinkFenceTopRail,block,block,"Reinforced Chainlink Fence TopRail"
ReinforcedChainlinkFenceTopRailBridge,block,block,"Reinforced Chainlink FenceTop Rail Bridge"
ReinforcedChainlinkFenceTopRailPoleLeft,block,block,"Reinforced Chainlink Fence Top Rail Pole Left"
ReinforcedChainlinkFenceTopRailPoleRight,block,block,"Reinforced Chainlink FenceTop Rail Pole Right"
ReinforcedChainlinkFenceTopRailCorner,block,block,"Reinforced Chainlink Fence Top Rail Corner"
ReinforcedChainlinkFenceBottomPlain,block,block,"Reinforced Chainlink Fence Bottom Plain"
ReinforcedChainlinkFenceBottomPlainPoleLeft,block,block,"Reinforced Chainlink Fence Bottom Plain Pole Left"
ReinforcedChainlinkFenceBottomPlainPoleRight,block,block,"Reinforced Chainlink Fence Bottom Plain Pole Right"
ReinforcedChainlinkFenceBottomPlainCorner,block,block,"Reinforced Chainlink Fence Bottom Plain Corner"
ReinforcedChainlinkFenceTopPlainRail,block,block,"Reinforced Chainlink Fence Top Plain Rail"
ReinforcedChainlinkFenceTopPlainRailPoleLeft,block,block,"Reinforced Chainlink Fence Top Plain Rail Pole Left"
ReinforcedChainlinkFenceTopPlainRailPoleRight,block,block,"Reinforced Chainlink FenceTop Plain Rail Pole Right"
ReinforcedChainlinkFenceTopPlainRailCorner,block,block,"Reinforced Chainlink Fence Top Plain Rail Corner"
ReinforcedbarbedWireVariantHelper,block,block,"Reinforced Razor Wire"
ReinforcedBarbedWireVariantHelperGroupDesc,block,block,"Razor sharp wires that cut deep into the intruders while keeping them at bay... It's a win-win"
ReinforcedbarbedSpindle,block,block,"Reinforced Razor Wire Spindle (Fence Offset)"
ReinforcedbarbedSpindleCentered,block,block,"Reinforced Razor Wire Spindle (Centered)"
ReinforcedbarbedWireSheet,block,block."Reinforced Straight Razor Wires"
ReinforcedbarbedFence,block,block,"Reinforced Razor Wire Fence"
ReinforcedchainlinkFenceDoor,block,block,"Reinforced Chainlink Door"
ReinforcedchainlinkFenceDoorGroupDesc,block,block,"As strong as the fence is, you still need to get through it somehow... Just don't forget to close it behind you"
ReinforcedchainlinkFenceDoorDouble,block,block,"Reinforced Chainlink Double Door"
ReinforcedchainlinkFenceDoorDoubleGroupDesc,block,block,"A bloody strong fence door... only twice as wide"
ReinforcedchainlinkGateSmall,block,block,"Reinforced Chainlink Gate"
ReinforcedchainlinkGateSmallGroupDesc,block,block,"A bloody strong gate, useful when you need to bring in the wide load"
ReinforcedchainlinkGateWide,block,block,"Reinforced Chainlink Gate (Wide)"
ReinforcedchainlinkGateWideGroupDesc,block,block,"Even with the strong fence, you still need to bring your vehicle in somehow"
