Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
cntRetroFridgePowered,blocks,Container,,,Powered Retro Refrigerator,,Angetriebener Retro-Kühlschrank,Nevera retro eléctrico,Réfrigérateur rétro alimenté,Frigorifero vintage alimentato,パワードレトロ冷蔵庫,파워드 레트로 냉장고,Zasilana staromodna lodówka,Geladeira Retrô alimentado,Pетро-холодильник с питанием,Elektrikli Retro Buzdolabı,动力复古冰箱,動力復古冰箱,Nevera retro eléctrico
cntFridgeStainlessSteelPowered,blocks,Container,,,"Powered Refrigerator, Stainless Steel",,"Angetriebener Kühlschrank, Edelstahl","Nevera eléctrico, acero inoxidable","Réfrigérateur alimenté, acier inoxydable",Frigorifero elettrico di acciaio inossidabile,動力を与えられたステンレス鋼の冷蔵庫,강화 된 스테인리스 냉장고,"Zasilana lodówka, stal nierdzewna",Refrigerador movido a aço inoxidável,Холодильник из нержавеющей стали с питанием,"Elektrikli Buzdolabı, Paslanmaz Çelik",电动不锈钢冰箱,電動不銹鋼冰箱,"Nevera eléctrico, acero inoxidable"
cntBeerCoolerPowered,blocks,Container,,,Powered Beverage Cooler,,Angetriebener Getränkekühler,Enfriador de bebidas motorizadas,Refroidisseur de boissons alimentées,Refrigeratore di bevande alimentate,電動飲料冷却器,전원 음료 쿨러,Zasilany chłodnica napojów,Refrigerador de bebidas alimentado,Охладитель напитка на питание,Güçlü İçecek Soğutucu,动力饮料凉爽,動力飲料涼爽,Enfriador de bebidas motorizadas
cntFridgesSchematic,blocks,Electricity,,,Refrigerators Schematic,,Bauplan – Kühlschränke,Esquema de refrigeradores,Schéma des réfrigérateurs,Schema dei frigoriferi,冷蔵庫の概略図,냉장고 회로도,Lodówek — schemat,Diagrama de refrigeradores,Схема «холодильников»,Buzdolapları Şematik,冰箱示意图,冰箱示意圖,Esquema de refrigeradores
resourceFertilizer,items,Food,,,Fertilizer,,Dünger,Fertilizante,Engrais,Fertilizzante,肥料,비료,Nawóz,Fertilizante,Удобрения,Gübre,肥料,肥料,Fertilizante
resourceFertilizerDesc,items,Food,,,Use this to make farm plots.,,"Verwenden Sie dies, um landwirtschaftliche Grundstücke zu erstellen.",Use esto para hacer parcelas agrícolas.,Utilisez ceci pour créer des parcelles de ferme.,Usalo per creare appezzamenti di fattoria.,これを使用して、農場の区画を作成します。,이것을 사용하여 농장 플롯을 만듭니다.,Użyj tego do tworzenia działek rolnych.,Use isso para fazer parcelas agrícolas.,"Используйте это, чтобы сделать земельные участки.",Çiftlik arazileri yapmak için bunu kullanın.,使用它制作农场地块。,使用它製作農場地塊。,Use esto para hacer parcelas agrícolas.
loadingTipFoodSpoilage,UI,Loading Screen,x,,"Most foods, other than canned foods, spoil over time. Spoiled food items will be placed into your inventory when you open a container where food has spoiled. Insulated containers, such as unpowered refrigerators, will slow down food spoilage a little bit. Powered refrigerators can be crafted that will preserve food much better.",,"Die meisten Lebensmittel, außer Konserven, verderben mit der Zeit. Verdorbene Lebensmittel werden in Ihr Inventar aufgenommen, wenn Sie einen Behälter öffnen, in dem Lebensmittel verdorben sind. Isolierte Behälter, wie z. B. Kühlschränke ohne Stromversorgung, verlangsamen den Verderb von Lebensmitteln ein wenig. Es können angetriebene Kühlschränke hergestellt werden, die Lebensmittel viel besser konservieren.","La mayoría de los alimentos, además de los enlatados, se echan a perder con el tiempo. Los alimentos en mal estado se colocarán en su inventario cuando abra un recipiente donde los alimentos se hayan echado a perder. Los contenedores aislados, como los refrigeradores sin alimentación, retrasarán un poco el deterioro de los alimentos. Se pueden fabricar refrigeradores eléctricos que conservarán los alimentos mucho mejor.","La plupart des aliments, autres que les conserves, se détériorent avec le temps. Les aliments avariés seront placés dans votre inventaire lorsque vous ouvrirez un contenant où la nourriture s'est avariée. Les contenants isothermes, tels que les réfrigérateurs non alimentés, ralentiront un peu la détérioration des aliments. Les réfrigérateurs électriques peuvent être fabriqués de manière à mieux conserver les aliments.","La maggior parte degli alimenti, diversi dai cibi in scatola, si deteriorano nel tempo. Gli alimenti rovinati verranno inseriti nel tuo inventario quando apri un contenitore in cui il cibo si è deteriorato. I contenitori isolati, come i frigoriferi non alimentati, rallentano un po 'il deterioramento degli alimenti. È possibile realizzare frigoriferi alimentati che conserveranno il cibo molto meglio.","缶詰以外のほとんどの食品は、時間の経過とともに腐敗します。食品が腐った容器を開けると、腐った食品が在庫に入れられます。電力が供給されていない冷蔵庫などの断熱容器は、食品の腐敗を少し遅くします。食品をよりよく保存する電動冷蔵庫を作ることができます。","통조림 식품을 제외한 대부분의 식품은 시간이 지남에 따라 상합니다. 음식이 상한 용기를 열면 상한 식품이 인벤토리에 저장됩니다. 전원이 공급되지 않는 냉장고와 같은 단열 용기는 식품 부패를 약간 늦 춥니 다. 식품을 훨씬 더 잘 보존 할 수있는 전동 냉장고를 만들 수 있습니다.","Większość produktów spożywczych, innych niż żywność w puszkach, z czasem się psuje. Zepsute artykuły spożywcze zostaną umieszczone w twoim ekwipunku, gdy otworzysz pojemnik, w którym jedzenie się zepsuje. Izolowane pojemniki, takie jak niezasilane lodówki, nieco spowolnią proces psucia się żywności. Można stworzyć lodówki z zasilaniem, które znacznie lepiej konserwują żywność.","A maioria dos alimentos, exceto alimentos enlatados, estraga com o tempo. Alimentos estragados serão colocados em seu inventário quando você abrir um recipiente onde o alimento estragou. Recipientes isolados, como refrigeradores sem energia, irão retardar um pouco a deterioração dos alimentos. Geladeiras elétricas podem ser fabricadas para preservar os alimentos muito melhor.","Большинство продуктов, кроме консервов, со временем портятся. Испорченные продукты будут помещены в ваш инвентарь, когда вы откроете контейнер, в котором еда испортилась. Изолированные контейнеры, такие как холодильники без источника питания, немного замедлят порчу продуктов. Могут быть изготовлены электрические холодильники, которые будут намного лучше хранить продукты.","Konserve yiyecekler dışındaki çoğu yiyecek zamanla bozulur. Bozulmuş yiyecekler, yiyeceklerin bozulduğu bir kabı açtığınızda envanterinize yerleştirilecektir. Elektriksiz buzdolapları gibi yalıtılmış kaplar yiyeceklerin bozulmasını biraz yavaşlatacaktır. Yiyecekleri daha iyi koruyacak elektrikli buzdolapları üretilebilir.","除罐头食品外，大多数食品都会随着时间的流逝而变质。当您打开食物变质的容器时，变质的食物将被放入您的库存中。绝热的容器（例如无电冰箱）会稍微减慢食物变质的速度。可以制作动力冰箱，以更好地保存食物。","除罐頭食品外，大多數食品都會隨著時間的流逝而變質。當您打開食物變質的容器時，變質的食物將被放入您的庫存中。絕熱的容器（例如無電冰箱）會稍微減慢食物變質的速度。可以製作動力冰箱，以更好地保存食物。","La mayoría de los alimentos, además de los enlatados, se echan a perder con el tiempo. Los alimentos en mal estado se colocarán en su inventario cuando abra un recipiente donde los alimentos se hayan echado a perder. Los contenedores aislados, como los refrigeradores sin alimentación, retrasarán un poco el deterioro de los alimentos. Se pueden fabricar refrigeradores eléctricos que conservarán los alimentos mucho mejor."
loadingTipFoodSpoilage_title,UI,Loading Screen,x,,Food Spoilage,,Lebensmittelverderb,Deterioro de los alimentos,Gaspillage de nourriture,Deterioramento alimentare,食品の腐敗,음식 부패,Psucie się żywności,A deterioração dos alimentos,Порча продуктов,Gıda bozulmaları,食物变质,食物變質,Deterioro de los alimentos
drinkJarIPA,items,Food,,,India Pale Ale,,Indien Pale Ale.,cerveza pálida India,Inde bière pâle,India pallido birra,インド淡いエール,인도 창백한 에일,Indie blade ale.,Índia pálida ale.,Индия Бледный Эль,Hindistan soluk ale,印度淡啤酒,印度淡啤酒,cerveza pálida India
drinkJarIPADesc,items,Food,,,"India Pale Ale is a style of beer that was originally formulated to survive the long sea voyage from England to India. The extra hops keep it from spoiling, and also make it delicious.",,"India Pale Ale ist ein Stil von Bierstil, das ursprünglich formuliert wurde, um die lange Meeresreise von England nach Indien zu überleben. Die zusätzlichen Hops halten es vor Verderben und machen es auch lecker.","India Pale Ale es un estilo de cerveza que originalmente se formuló para sobrevivir al largo viaje al mar de Inglaterra a la India. Los saltos adicionales lo mantienen estropeando, y también lo hacen delicioso.",L'Inde Pale Ale est un style de bière qui était initialement formulé pour survivre au long voyage de la mer d'Angleterre en Inde. Le houblon supplémentaire le garde de la gâterie et la rendent aussi délicieuse.,"L'India pallido Ale è uno stile di birra originariamente formulato per sopravvivere al lungo viaggio in mare dall'Inghilterra in India. Il luppolo extra tenerlo dallo spoiling, e anche renderlo delizioso.",インドの淡いエールは、もともとイングランドからインドへの長い海の航海を乗り越えるように処方されたビールのスタイルです。余分なホップはそれを台無しにし続けており、またおいしさせる。,인도 창백한 에일은 영국에서 인도까지 긴 바다 항해를 생존하기 위해 원래 공식화 된 맥주 스타일입니다. 여분의 홉은 그것을 망치로부터 유지하고 맛있게 만듭니다.,"Indie blade ale jest stylem piwa, który został pierwotnie sformułowany, aby przetrwać długie podróże morskie z Anglii do Indii. Dodatkowe chmiele utrzymują go od psowania, a także sprawiają, że jest pyszne.","A Índia Pale Ale é um estilo de cerveja que foi originalmente formulado para sobreviver à longa viagem do mar da Inglaterra para a Índia. Os saltos extras impedem de estragar, e também tornam delicioso.","Индия Бейл Эль - это стиль пива, который был изначально сформулирован, чтобы пережить длинное морское путешествие из Англии в Индию. Дополнительные прыжки сохраняют его из порыва, а также делают его вкусно.","Hindistan Soluk Ale, İngiltere'den Hindistan'a uzun deniz yolculuğunun hayatta kalmak için ilk olarak formüle edilmiş bir bira tarzıdır. Ekstra şerbetçiotu bozmadan tutun ve ayrıca lezzetli hale getirir.",印度苍白啤酒是一种啤酒，最初是制定的，以幸存于英格兰到印度的长海航。额外的啤酒花将其免于烘干，并使其美味。,印度蒼白啤酒是一種啤酒，最初是製定的，以倖存於英格蘭到印度的長海航。額外的啤酒花將其免於烘乾，並使其美味。,"India Pale Ale es un estilo de cerveza que originalmente se formuló para sobrevivir al largo viaje al mar de Inglaterra a la India. Los saltos adicionales lo mantienen estropeando, y también lo hacen delicioso."
